Timp sistem,octeti specifici (Wh)
14:58:10.056,0000004212 Wh
14:58:11.054,0000004212 Wh
14:58:12.376,0000004212 Wh
14:58:13.066,0000004212 Wh
14:58:14.058,0000004212 Wh
14:58:15.068,0000004212 Wh
14:58:16.056,0000004212 Wh
14:58:17.396,0000004212 Wh
14:58:18.076,0000004212 Wh
14:58:19.067,0000004212 Wh
14:58:20.071,0000004212 Wh
14:58:21.081,0000004212 Wh
14:58:22.406,0000004212 Wh
14:58:23.083,0000004212 Wh
14:58:24.090,0000004212 Wh
14:58:25.076,0000004212 Wh
14:58:26.086,0000004212 Wh
14:58:27.416,0000004212 Wh
14:58:28.086,0000004212 Wh
14:58:29.096,0000004212 Wh
14:58:30.091,0000004212 Wh
14:58:31.096,0000004212 Wh
14:58:32.426,0000004212 Wh
14:58:33.096,0000004212 Wh
14:58:34.104,0000004212 Wh
14:58:35.096,0000004212 Wh
14:58:36.095,0000004212 Wh
14:58:37.418,0000004212 Wh
14:58:38.099,0000004212 Wh
14:58:39.110,0000004212 Wh
14:58:40.090,0000004212 Wh
14:58:41.102,0000004212 Wh
14:58:42.436,0000004212 Wh
14:58:43.107,0000004212 Wh
14:58:44.108,0000004212 Wh
14:58:45.122,0000004212 Wh
14:58:46.118,0000004212 Wh
14:58:47.441,0000004212 Wh
14:58:48.119,0000004212 Wh
14:58:49.118,0000004212 Wh
14:58:50.134,0000004212 Wh
14:58:51.126,0000004212 Wh
14:58:52.444,0000004212 Wh
14:58:53.139,0000004212 Wh
14:58:54.134,0000004212 Wh
14:58:55.139,0000004212 Wh
14:58:56.128,0000004212 Wh
14:58:57.454,0000004212 Wh
14:58:58.145,0000004212 Wh
14:58:59.133,0000004212 Wh
14:59:00.144,0000004212 Wh
14:59:01.139,0000004212 Wh
14:59:02.466,0000004212 Wh
14:59:03.156,0000004212 Wh
14:59:04.149,0000004212 Wh
14:59:05.154,0000004212 Wh
14:59:06.152,0000004212 Wh
14:59:07.490,0000004212 Wh
14:59:08.158,0000004212 Wh
14:59:09.168,0000004212 Wh
14:59:10.148,0000004212 Wh
14:59:11.159,0000004212 Wh
14:59:12.489,0000004212 Wh
14:59:13.167,0000004212 Wh
14:59:14.179,0000004212 Wh
14:59:15.157,0000004212 Wh
14:59:16.169,0000004212 Wh
14:59:17.504,0000004212 Wh
14:59:18.168,0000004212 Wh
14:59:19.179,0000004212 Wh
14:59:20.174,0000004212 Wh
14:59:21.186,0000004212 Wh
14:59:22.513,0000004212 Wh
14:59:23.185,0000004212 Wh
14:59:24.186,0000004212 Wh
14:59:25.182,0000004212 Wh
14:59:26.189,0000004212 Wh
14:59:27.506,0000004212 Wh
14:59:28.190,0000004212 Wh
14:59:29.186,0000004212 Wh
14:59:30.198,0000004212 Wh
14:59:31.193,0000004212 Wh
14:59:32.524,0000004213 Wh
14:59:33.208,0000004213 Wh
14:59:34.193,0000004213 Wh
14:59:35.210,0000004213 Wh
14:59:36.205,0000004213 Wh
14:59:37.533,0000004213 Wh
14:59:38.200,0000004213 Wh
14:59:39.199,0000004213 Wh
14:59:40.209,0000004213 Wh
14:59:41.205,0000004213 Wh
14:59:42.538,0000004213 Wh
